"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100p","~","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","1",""
"C2","50u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"D1,D2","~","~","Diode_THT:D_5W_P12.70mm_Horizontal","2",""
"L1","500u","~","Inductor_THT:L_Axial_L11.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_MECC","1",""
"Q1,Q2","IRF540N","","IRF540N:TO254P1054X469X1930-3","2",""
"R1","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2","50K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"Rg1,RL1","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"Rs1","22","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"Timer-IC1","LM555xN","http://www.ti.com/lit/ds/symlink/lm555.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"Vcc1","5V","~","Connector:JWT_A3963_1x02_P3.96mm_Vertical","1",""
"Vin1","24V","~","Connector:JWT_A3963_1x02_P3.96mm_Vertical","1",""
